originating-authority-charge-identifier,number_of_polygons,number_of_points,number_of_lines,avg_area_(m^3),area_standard_derivation_(+-),smallest_area_(m^3),largest_area_(m^3)
14250,1,0,0,3908.5724291714873,,3908.5724291714873,3908.5724291714873
14251,1,0,0,135.71469999986934,,135.71469999986934,135.71469999986934
14252,1,0,0,310.4679195066469,,310.4679195066469,310.4679195066469
14253,1,0,0,362.7763910082941,,362.7763910082941,362.7763910082941
14254,1,0,0,602.4429179867594,,602.4429179867594,602.4429179867594
14255,1,0,0,257.54557699071086,,257.54557699071086,257.54557699071086
14256,1,0,0,383.34111800534714,,383.34111800534714,383.34111800534714
14257,1,0,0,244.2567879908154,,244.2567879908154,244.2567879908154
14258,1,0,0,424.8923779948773,,424.8923779948773,424.8923779948773
14259,1,0,0,223.66655100406868,,223.66655100406868,223.66655100406868
14260,1,0,0,121.92399549799455,,121.92399549799455,121.92399549799455
14261,1,0,0,20370.003760505173,,20370.003760505173,20370.003760505173
14264,1,0,0,46.36350000006414,,46.36350000006414,46.36350000006414
14266,1,0,0,46.47950000442663,,46.47950000442663,46.47950000442663
14268,1,0,0,27417.82403059111,,27417.82403059111,27417.82403059111
14269,1,0,0,46.92349999514429,,46.92349999514429,46.92349999514429
14270,1,0,0,48.41479999697573,,48.41479999697573,48.41479999697573
14271,1,0,0,53.873349996929385,,53.873349996929385,53.873349996929385
14272,1,0,0,47.2707999999622,,47.2707999999622,47.2707999999622
14273,1,0,0,110.55520000517154,,110.55520000517154,110.55520000517154
14274,1,0,0,117.6676760063038,,117.6676760063038,117.6676760063038
14276,1,0,0,125.31270000114503,,125.31270000114503,125.31270000114503
14277,1,0,0,569.4482450265875,,569.4482450265875,569.4482450265875
14278,1,0,0,228.9892664914975,,228.9892664914975,228.9892664914975
14279,1,0,0,489.18415500838597,,489.18415500838597,489.18415500838597
14280,1,0,0,359.00998297222054,,359.00998297222054,359.00998297222054
14281,1,0,0,434.4974319745909,,434.4974319745909,434.4974319745909
14284,2,0,0,28.054214685379286,21.901259590692355,12.567685512273812,43.54074385848476
14285,1,0,0,37.111341951192706,,37.111341951192706,37.111341951192706
14286,1,0,0,23.513700859733166,,23.513700859733166,23.513700859733166
14287,1,0,0,93.22020000054759,,93.22020000054759,93.22020000054759
14288,1,0,0,103.4445657634098,,103.4445657634098,103.4445657634098
14289,1,0,0,70.78961999965635,,70.78961999965635,70.78961999965635
14290,1,0,0,33.69870000004225,,33.69870000004225,33.69870000004225
14291,1,0,0,39.927971188744735,,39.927971188744735,39.927971188744735
14292,1,0,0,210.4859310109465,,210.4859310109465,210.4859310109465
14293,1,0,0,133.53414999785463,,133.53414999785463,133.53414999785463
